ts_iso,symbol,agg_age_s,kline_age_s,agg_msgs,kline_msgs,bars_finalized,open_positions,mode,testnet
2025-12-17T02:48:46.958Z,BTCUSDT,,46.959,0,0,0,0,paper,1
2025-12-17T02:48:46.958Z,ETHUSDT,,46.959,0,0,0,0,paper,1
2025-12-17T02:48:46.958Z,SOLUSDT,,46.959,0,0,0,0,paper,1
2025-12-17T02:48:46.958Z,XRPUSDT,,46.959,0,0,0,0,paper,1
2025-12-17T02:48:46.958Z,DOGEUSDT,,46.959,0,0,0,0,paper,1
2025-12-17T02:48:51.961Z,BTCUSDT,1.108,51.962,41,0,1,0,paper,1
2025-12-17T02:48:51.961Z,ETHUSDT,2.807,51.962,18,0,0,0,paper,1
2025-12-17T02:48:51.961Z,SOLUSDT,4.323,51.962,1,0,0,0,paper,1
2025-12-17T02:48:51.961Z,XRPUSDT,1.211,51.962,3,0,1,0,paper,1
2025-12-17T02:48:51.961Z,DOGEUSDT,2.449,51.962,9,0,0,0,paper,1
2025-12-17T10:43:24.409Z,BTCUSDT,,24.41,0,0,0,0,paper,1
2025-12-17T10:43:24.409Z,ETHUSDT,,24.41,0,0,0,0,paper,1
2025-12-17T10:43:24.409Z,SOLUSDT,,84.41,0,0,0,0,paper,1
2025-12-17T10:43:24.409Z,XRPUSDT,,24.41,0,0,0,0,paper,1
2025-12-17T10:43:24.409Z,DOGEUSDT,,84.41,0,0,0,0,paper,1
2025-12-17T10:43:29.420Z,BTCUSDT,3.82,29.421,3,0,1,0,paper,1
2025-12-17T10:43:29.420Z,ETHUSDT,2.162,29.421,5,0,0,0,paper,1
2025-12-17T10:43:29.420Z,SOLUSDT,2.843,89.421,4,0,0,0,paper,1
2025-12-17T10:43:29.420Z,XRPUSDT,2.498,29.421,7,0,1,0,paper,1
2025-12-17T10:43:29.420Z,DOGEUSDT,2.484,89.421,1,0,0,0,paper,1
2025-12-17T10:43:34.437Z,BTCUSDT,3.687,34.438,11,0,2,0,paper,1
2025-12-17T10:43:34.437Z,ETHUSDT,2.424,34.438,15,0,1,0,paper,1
2025-12-17T10:43:34.437Z,SOLUSDT,2.885,94.438,7,0,1,0,paper,1
2025-12-17T10:43:34.437Z,XRPUSDT,2.489,34.438,12,0,2,0,paper,1
2025-12-17T10:43:34.437Z,DOGEUSDT,2.612,94.438,12,0,1,0,paper,1
2025-12-17T10:43:39.455Z,BTCUSDT,4.25,39.456,15,0,3,0,paper,1
2025-12-17T10:43:39.455Z,ETHUSDT,3.617,39.456,17,0,2,0,paper,1
2025-12-17T10:43:39.455Z,SOLUSDT,3.313,99.456,10,0,2,0,paper,1
2025-12-17T10:43:39.455Z,XRPUSDT,4.085,39.456,14,0,3,0,paper,1
2025-12-17T10:43:39.455Z,DOGEUSDT,3.675,99.456,15,0,2,0,paper,1
2025-12-17T10:43:44.463Z,BTCUSDT,2.966,44.464,24,0,4,0,paper,1
2025-12-17T10:43:44.463Z,ETHUSDT,2.194,44.464,25,0,3,0,paper,1
2025-12-17T10:43:44.463Z,SOLUSDT,3.262,104.464,15,0,3,0,paper,1
2025-12-17T10:43:44.463Z,XRPUSDT,2.849,44.464,24,0,4,0,paper,1
2025-12-17T10:43:44.463Z,DOGEUSDT,3.842,104.464,20,0,3,0,paper,1
2025-12-17T10:43:49.476Z,BTCUSDT,2.12,49.477,33,0,5,0,paper,1
2025-12-17T10:43:49.476Z,ETHUSDT,3.211,49.477,30,0,4,0,paper,1
2025-12-17T10:43:49.476Z,SOLUSDT,3.561,109.477,19,0,4,0,paper,1
2025-12-17T10:43:49.476Z,XRPUSDT,2.251,49.477,32,0,5,0,paper,1
2025-12-17T10:43:49.476Z,DOGEUSDT,2.132,109.477,25,0,4,0,paper,1
2025-12-17T10:43:54.494Z,BTCUSDT,4.58,54.495,37,0,5,0,paper,1
2025-12-17T10:43:54.494Z,ETHUSDT,3.046,54.495,34,0,5,0,paper,1
2025-12-17T10:43:54.494Z,SOLUSDT,3.266,114.495,27,0,5,0,paper,1
2025-12-17T10:43:54.494Z,XRPUSDT,3.288,54.495,37,0,6,0,paper,1
2025-12-17T10:43:54.494Z,DOGEUSDT,2.977,114.495,30,0,5,0,paper,1
2025-12-17T10:43:59.510Z,BTCUSDT,2.682,59.511,44,0,7,0,paper,1
2025-12-17T10:43:59.510Z,ETHUSDT,3.36,59.511,39,0,6,0,paper,1
2025-12-17T10:43:59.510Z,SOLUSDT,3.571,119.511,32,0,6,0,paper,1
2025-12-17T10:43:59.510Z,XRPUSDT,3.451,59.511,42,0,7,0,paper,1
2025-12-17T10:43:59.510Z,DOGEUSDT,2.646,119.511,38,0,6,0,paper,1
2025-12-17T10:44:04.509Z,BTCUSDT,2.533,4.51,49,1,8,0,paper,1
2025-12-17T10:44:04.509Z,ETHUSDT,2.075,4.51,58,1,7,0,paper,1
2025-12-17T10:44:04.509Z,SOLUSDT,2.373,4.51,39,1,7,0,paper,1
2025-12-17T10:44:04.509Z,XRPUSDT,3.305,4.51,48,1,8,0,paper,1
2025-12-17T10:44:04.509Z,DOGEUSDT,3.983,4.51,45,1,7,0,paper,1
2025-12-17T10:44:09.524Z,BTCUSDT,1.543,9.525,54,1,9,0,paper,1
2025-12-17T10:44:09.524Z,ETHUSDT,2.195,9.525,75,1,8,0,paper,1
2025-12-17T10:44:09.524Z,SOLUSDT,4.107,9.525,43,1,8,0,paper,1
2025-12-17T10:44:09.524Z,XRPUSDT,2.543,9.525,53,1,9,0,paper,1
2025-12-17T10:44:09.524Z,DOGEUSDT,3.288,9.525,55,1,8,0,paper,1
2025-12-17T10:44:14.550Z,BTCUSDT,2.247,14.551,56,1,10,0,paper,1
2025-12-17T10:44:14.550Z,ETHUSDT,1.445,14.551,82,1,9,0,paper,1
2025-12-17T10:44:14.550Z,SOLUSDT,1.897,14.551,51,1,9,0,paper,1
2025-12-17T10:44:14.550Z,XRPUSDT,3.146,14.551,56,1,10,0,paper,1
2025-12-17T10:44:14.550Z,DOGEUSDT,1.903,14.551,64,1,9,0,paper,1
2025-12-17T10:44:19.574Z,BTCUSDT,3.811,19.575,60,1,11,0,paper,1
2025-12-17T10:44:19.574Z,ETHUSDT,2.416,19.575,86,1,10,0,paper,1
2025-12-17T10:44:19.574Z,SOLUSDT,2.708,19.575,54,1,10,0,paper,1
2025-12-17T10:44:19.574Z,XRPUSDT,1.955,19.575,59,1,11,0,paper,1
2025-12-17T10:44:19.574Z,DOGEUSDT,1.897,19.575,67,1,10,0,paper,1
2025-12-17T10:44:24.597Z,BTCUSDT,2.675,24.598,67,1,12,0,paper,1
2025-12-17T10:44:24.597Z,ETHUSDT,2.422,24.598,90,1,11,0,paper,1
2025-12-17T10:44:24.597Z,SOLUSDT,2.932,24.598,59,1,11,0,paper,1
2025-12-17T10:44:24.597Z,XRPUSDT,2.284,24.598,64,1,12,0,paper,1
2025-12-17T10:44:24.597Z,DOGEUSDT,2.845,24.598,71,1,11,0,paper,1
2025-12-17T10:44:29.613Z,BTCUSDT,3.038,29.614,73,1,13,0,paper,1
2025-12-17T10:44:29.613Z,ETHUSDT,4.409,29.614,93,1,12,0,paper,1
2025-12-17T10:44:29.613Z,SOLUSDT,3.117,29.614,63,1,12,0,paper,1
2025-12-17T10:44:29.613Z,XRPUSDT,2.887,29.614,67,1,13,0,paper,1
2025-12-17T10:44:29.613Z,DOGEUSDT,3.249,29.614,76,1,12,0,paper,1
2025-12-17T10:44:34.630Z,BTCUSDT,2.779,34.631,81,1,14,0,paper,1
2025-12-17T10:44:34.630Z,ETHUSDT,4.514,34.631,98,1,13,0,paper,1
2025-12-17T10:44:34.630Z,SOLUSDT,3.014,34.631,67,1,13,0,paper,1
2025-12-17T10:44:34.630Z,XRPUSDT,3.838,34.631,70,1,14,0,paper,1
2025-12-17T10:44:34.630Z,DOGEUSDT,2.792,34.631,80,1,13,0,paper,1
2025-12-17T10:44:39.649Z,BTCUSDT,3.256,39.65,87,1,15,0,paper,1
2025-12-17T10:44:39.649Z,ETHUSDT,3.866,39.65,102,1,14,0,paper,1
2025-12-17T10:44:39.649Z,SOLUSDT,4.958,39.65,72,1,13,0,paper,1
2025-12-17T10:44:39.649Z,XRPUSDT,4.673,39.65,78,1,14,0,paper,1
2025-12-17T10:44:39.649Z,DOGEUSDT,3.074,39.65,88,1,14,0,paper,1
2025-12-17T10:44:44.666Z,BTCUSDT,3.527,44.667,97,1,16,0,paper,1
2025-12-17T10:44:44.666Z,ETHUSDT,1.958,44.667,114,1,15,0,paper,1
2025-12-17T10:44:44.666Z,SOLUSDT,2.476,44.667,79,1,15,0,paper,1
2025-12-17T10:44:44.666Z,XRPUSDT,3.403,44.667,86,1,16,0,paper,1
2025-12-17T10:44:44.666Z,DOGEUSDT,5.709,44.667,93,1,14,0,paper,1
2025-12-17T10:44:49.698Z,BTCUSDT,3.221,49.699,102,1,17,0,paper,1
2025-12-17T10:44:49.698Z,ETHUSDT,2.218,49.699,117,1,16,0,paper,1
2025-12-17T10:44:49.698Z,SOLUSDT,2.26,49.699,82,1,16,0,paper,1
2025-12-17T10:44:49.698Z,XRPUSDT,3.803,49.699,95,1,17,0,paper,1
2025-12-17T10:44:49.698Z,DOGEUSDT,4.98,49.699,96,1,15,0,paper,1
2025-12-17T10:44:54.706Z,BTCUSDT,2.551,54.707,108,1,18,0,paper,1
2025-12-17T10:44:54.706Z,ETHUSDT,3.931,54.707,122,1,17,0,paper,1
2025-12-17T10:44:54.706Z,SOLUSDT,2.321,54.707,85,1,17,0,paper,1
2025-12-17T10:44:54.706Z,XRPUSDT,4.295,54.707,99,1,18,0,paper,1
2025-12-17T10:44:54.706Z,DOGEUSDT,4.938,54.707,100,1,16,0,paper,1
2025-12-17T10:44:59.718Z,BTCUSDT,2.707,59.719,121,1,19,0,paper,1
2025-12-17T10:44:59.718Z,ETHUSDT,2.526,59.719,127,1,18,0,paper,1
2025-12-17T10:44:59.718Z,SOLUSDT,2.996,59.719,89,1,18,0,paper,1
2025-12-17T10:44:59.718Z,XRPUSDT,2.775,59.719,107,1,19,0,paper,1
2025-12-17T10:44:59.718Z,DOGEUSDT,3.585,59.719,105,1,18,0,paper,1
2025-12-17T10:45:04.736Z,BTCUSDT,1.577,4.737,129,2,20,0,paper,1
2025-12-17T10:45:04.736Z,ETHUSDT,1.917,4.737,133,2,19,0,paper,1
2025-12-17T10:45:04.736Z,SOLUSDT,1.515,4.737,97,2,19,0,paper,1
2025-12-17T10:45:04.736Z,XRPUSDT,1.386,4.737,116,2,20,0,paper,1
2025-12-17T10:45:04.736Z,DOGEUSDT,2.761,4.737,111,2,19,0,paper,1
2025-12-17T10:45:09.763Z,BTCUSDT,1.515,9.764,134,2,21,0,paper,1
2025-12-17T10:45:09.763Z,ETHUSDT,1.96,9.764,139,2,20,0,paper,1
2025-12-17T10:45:09.763Z,SOLUSDT,2.311,9.764,102,2,20,0,paper,1
2025-12-17T10:45:09.763Z,XRPUSDT,2.141,9.764,123,2,21,0,paper,1
2025-12-17T10:45:09.763Z,DOGEUSDT,2.557,9.764,118,2,20,0,paper,1
2025-12-17T10:45:14.770Z,BTCUSDT,2.922,14.771,137,2,22,0,paper,1
2025-12-17T10:45:14.770Z,ETHUSDT,1.783,14.771,161,2,21,0,paper,1
2025-12-17T10:45:14.770Z,SOLUSDT,2.012,14.771,108,2,21,0,paper,1
2025-12-17T10:45:14.770Z,XRPUSDT,2.919,14.771,130,2,22,0,paper,1
2025-12-17T10:45:14.770Z,DOGEUSDT,4.103,14.771,120,2,21,0,paper,1
2025-12-17T10:45:19.772Z,BTCUSDT,2.57,19.773,141,2,23,0,paper,1
2025-12-17T10:45:19.772Z,ETHUSDT,2.152,19.773,171,2,22,0,paper,1
2025-12-17T10:45:19.772Z,SOLUSDT,2.187,19.773,110,2,22,0,paper,1
2025-12-17T10:45:19.772Z,XRPUSDT,1.974,19.773,141,2,23,0,paper,1
2025-12-17T10:45:19.772Z,DOGEUSDT,5.817,19.773,121,2,21,0,paper,1
2025-12-17T10:45:24.806Z,BTCUSDT,3.159,24.807,148,2,24,0,paper,1
2025-12-17T10:45:24.806Z,ETHUSDT,3.147,24.807,176,2,23,0,paper,1
2025-12-17T10:45:24.806Z,SOLUSDT,2.92,24.807,115,2,23,0,paper,1
2025-12-17T10:45:24.806Z,XRPUSDT,4.62,24.807,144,2,24,0,paper,1
2025-12-17T10:45:24.806Z,DOGEUSDT,5.595,24.807,124,2,22,0,paper,1
2025-12-17T10:45:29.820Z,BTCUSDT,2.234,29.821,152,2,25,0,paper,1
2025-12-17T10:45:29.820Z,ETHUSDT,2.25,29.821,186,2,24,0,paper,1
2025-12-17T10:45:29.820Z,SOLUSDT,3.934,29.821,118,2,24,0,paper,1
2025-12-17T10:45:29.820Z,XRPUSDT,1.855,29.821,148,2,25,0,paper,1
2025-12-17T10:45:29.820Z,DOGEUSDT,2.367,29.821,130,2,24,0,paper,1
2025-12-17T10:45:34.830Z,BTCUSDT,3.93,34.831,156,2,26,0,paper,1
2025-12-17T10:45:34.830Z,ETHUSDT,3.725,34.831,189,2,25,0,paper,1
2025-12-17T10:45:34.830Z,SOLUSDT,2.412,34.831,122,2,25,0,paper,1
2025-12-17T10:45:34.830Z,XRPUSDT,5.062,34.831,152,2,25,0,paper,1
2025-12-17T10:45:34.830Z,DOGEUSDT,2.431,34.831,134,2,25,0,paper,1
2025-12-17T10:45:39.843Z,BTCUSDT,3.266,39.844,163,2,27,0,paper,1
2025-12-17T10:45:39.843Z,ETHUSDT,3.341,39.844,207,2,26,0,paper,1
2025-12-17T10:45:39.843Z,SOLUSDT,4.113,39.844,125,2,26,0,paper,1
2025-12-17T10:45:39.843Z,XRPUSDT,3.794,39.844,157,2,27,0,paper,1
2025-12-17T10:45:39.843Z,DOGEUSDT,3.733,39.844,138,2,26,0,paper,1
2025-12-17T10:45:44.832Z,BTCUSDT,3.325,44.833,175,2,28,0,paper,1
2025-12-17T10:45:44.832Z,ETHUSDT,3.394,44.833,212,2,27,0,paper,1
2025-12-17T10:45:44.832Z,SOLUSDT,3.134,44.833,129,2,27,0,paper,1
2025-12-17T10:45:44.832Z,XRPUSDT,3.539,44.833,168,2,28,0,paper,1
2025-12-17T10:45:44.832Z,DOGEUSDT,3.501,44.833,143,2,27,0,paper,1
2025-12-17T10:45:49.853Z,BTCUSDT,4.01,49.854,181,2,29,0,paper,1
2025-12-17T10:45:49.853Z,ETHUSDT,3.773,49.854,219,2,28,0,paper,1
2025-12-17T10:45:49.853Z,SOLUSDT,2.25,49.854,134,2,28,0,paper,1
2025-12-17T10:45:49.853Z,XRPUSDT,3.009,49.854,173,2,29,0,paper,1
2025-12-17T10:45:49.853Z,DOGEUSDT,3.642,49.854,147,2,28,0,paper,1
2025-12-17T10:45:54.866Z,BTCUSDT,2.423,54.867,188,2,30,0,paper,1
2025-12-17T10:45:54.866Z,ETHUSDT,4.228,54.867,226,2,29,0,paper,1
2025-12-17T10:45:54.866Z,SOLUSDT,2.55,54.867,138,2,29,0,paper,1
2025-12-17T10:45:54.866Z,XRPUSDT,2.36,54.867,178,2,30,0,paper,1
2025-12-17T10:45:54.866Z,DOGEUSDT,2.347,54.867,152,2,29,0,paper,1
2025-12-17T10:45:59.878Z,BTCUSDT,3.802,59.879,192,2,31,0,paper,1
2025-12-17T10:45:59.878Z,ETHUSDT,3.846,59.879,233,2,30,0,paper,1
2025-12-17T10:45:59.878Z,SOLUSDT,2.979,59.879,144,2,30,0,paper,1
2025-12-17T10:45:59.878Z,XRPUSDT,3.52,59.879,181,2,31,0,paper,1
2025-12-17T10:45:59.878Z,DOGEUSDT,3.708,59.879,155,2,30,0,paper,1
2025-12-17T10:46:04.871Z,BTCUSDT,2.197,4.872,199,3,32,0,paper,1
2025-12-17T10:46:04.871Z,ETHUSDT,2.587,4.872,239,3,31,0,paper,1
2025-12-17T10:46:04.871Z,SOLUSDT,3.197,4.872,148,3,31,0,paper,1
2025-12-17T10:46:04.871Z,XRPUSDT,3.295,4.872,187,3,32,0,paper,1
2025-12-17T10:46:04.871Z,DOGEUSDT,1.927,4.872,165,3,31,0,paper,1
2025-12-17T10:46:09.874Z,BTCUSDT,3.6,9.875,204,3,33,0,paper,1
2025-12-17T10:46:09.874Z,ETHUSDT,1.758,9.875,247,3,32,0,paper,1
2025-12-17T10:46:09.874Z,SOLUSDT,3.147,9.875,151,3,32,0,paper,1
