ts_iso,symbol,action,direction,qty,price,status,details
2025-12-17T11:19:58.011Z,ETHUSDT,OPEN,SHORT,0.008,2925.49,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'SHORT', 'qty': 0.008, 'mark_price': 2925.49, 'stop': 2931.34}"
2025-12-17T11:25:03.617Z,ETHUSDT,TIME_EXIT,SHORT,0.008,2926.32,paper_close,
2025-12-17T11:44:07.089Z,ETHUSDT,OPEN,SHORT,0.008,2929.61,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'SHORT', 'qty': 0.008, 'mark_price': 2929.61, 'stop': 2935.46}"
2025-12-17T11:49:11.865Z,ETHUSDT,TIME_EXIT,SHORT,0.008,2926.5,paper_close,
2025-12-17T11:52:28.234Z,ETHUSDT,OPEN,SHORT,0.008,2930.99,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'SHORT', 'qty': 0.008, 'mark_price': 2930.99, 'stop': 2936.85}"
2025-12-17T11:57:34.735Z,ETHUSDT,TIME_EXIT,SHORT,0.008,2926.24,paper_close,
2025-12-17T12:01:52.576Z,BTCUSDT,OPEN,SHORT,,87036.39206522,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T12:02:56.577Z,BTCUSDT,OPEN,SHORT,,87040.1,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T12:03:56.845Z,BTCUSDT,OPEN,SHORT,,87068.55963768,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T12:07:01.464Z,BTCUSDT,OPEN,SHORT,,87169.5,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T12:10:07.153Z,ETHUSDT,OPEN,SHORT,0.008,2931.09,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'SHORT', 'qty': 0.008, 'mark_price': 2931.09, 'stop': 2936.95}"
2025-12-17T12:15:15.232Z,ETHUSDT,TIME_EXIT,SHORT,0.008,2933.4,paper_close,
